Latitude,Longitude,Tipo,Nome
-12.9913280,-38.4532485,school,Escola Lápis de Cor
-12.9915703,-38.4532719,language_school,FISK
-12.9912524,-38.4532985,fast_food,Açaí Saúde
-12.9929637,-38.4530329,pub,Canal
-12.9936255,-38.4648973,atm,Banco24Horas
-13.0049928,-38.4606048,pharmacy,Drogasil
-12.9864035,-38.4575370,atm,Banco24Horas
-13.0028544,-38.4556447,pharmacy,Drogaria São Paulo
-13.0028722,-38.4557560,restaurant,Panda
-13.0033803,-38.4582007,dentist,Clioral
-12.9979683,-38.4603966,restaurant,Pizza da Chapada
-13.0014487,-38.4566679,language_school,Cultura Inglesa
-12.9876088,-38.4510260,clinic,Delfin
-12.9915937,-38.4572595,nursing_home,Holiste - residência terapêutica
-12.9916081,-38.4575447,school,Lua Nova - centro de estudos
-12.9916118,-38.4635970,dojo,"Centro de Treinamento de Judô, Jiu-Jitsu e Submission"
-12.9929252,-38.4560389,fast_food,Pizza Supreme
-12.9927997,-38.4548266,pharmacy,Singular Pharma
-12.9924469,-38.4548092,pharmacy,Pague Menos
-13.0012099,-38.4569268,restaurant,Restaurante Oceânico
-13.0009904,-38.4568530,restaurant,Skilo
-13.0010949,-38.4563220,veterinary,HPET
-12.9986623,-38.4612880,clinic,Oral Imagem
-12.9980103,-38.4621395,fast_food,Jhonys
-12.9979726,-38.4620877,restaurant,Novo Sabor
-12.9986536,-38.4601483,dentist,NBI Implantes dentários
-12.9986407,-38.4600513,dentist,Cenior
-12.9979965,-38.4599204,dojo,Karatê-Dô Tradicional
-12.9917946,-38.4611140,restaurant,Aloha Poke
-12.9965579,-38.4537363,restaurant,Comedoria
-12.9910960,-38.4701445,childcare,Centro Educacional Luz do Saber
-12.9884099,-38.4540259,school,Nossa Escola
-12.9867101,-38.4618384,pub,Segundo Expediente
-12.9880554,-38.4621801,fast_food,Acarajé da Didiu
-12.9925754,-38.4530701,car_wash,Fast Lava Jato
-12.9869419,-38.4584380,restaurant,Jerimum Buffet
-13.0042410,-38.4551465,restaurant,Cantina Cosa Nostra
-13.0044904,-38.4550578,pharmacy,Atacadão dos Remédios
-13.0046481,-38.4563688,bank,Banco do Brasil
-13.0053568,-38.4578021,pharmacy,Pharmapele
-13.0051348,-38.4583372,pharmacy,A Fórmula
-13.0055829,-38.4587552,pharmacy,Extrafarma
-13.0059601,-38.4606218,school,Gregor Mendel Vestibular
-13.0058935,-38.4605166,dentist,Hospital de Odontologia Especializada
-12.9992915,-38.4571880,restaurant,Oriental
-13.0024466,-38.4563019,clinic,Corporin
-13.0031243,-38.4572055,fast_food,Disque Coco
-13.0031803,-38.4571388,clinic,Clínica Rio de Janeiro
-12.9913706,-38.4597422,bar,Pirambeira
-12.9868189,-38.4569993,childcare,Pitchuco
-13.0020724,-38.4632389,doctors,Bruna Andrade Nutricionista
-13.0083445,-38.4624921,fast_food,Açaí no Kilo
-13.0082029,-38.4625893,restaurant,Di Lucca
-12.9902036,-38.4606245,ice_cream,Sorveteria da Ribeira
-12.9881722,-38.4563566,restaurant,Il Filetto
-12.9879807,-38.4562352,fast_food,La Kantuta
-13.0012327,-38.4612298,pharmacy,Drogasil
-13.0012714,-38.4617670,fast_food,Juca Açaí
-13.0030517,-38.4566013,place_of_worship,Igreja Cristã Maranata
-12.9988936,-38.4627536,fast_food,Taurus Burger and Beer
-12.9990418,-38.4635811,restaurant,Haack
-12.9919235,-38.4606298,clinic,Studio Fisio
-13.0078903,-38.4640280,restaurant,One Sushi
-12.9887937,-38.4554845,restaurant,Restaurante Origem
-12.9886980,-38.4555084,pub,Rhoncus Beer Garden
-13.0023206,-38.4573851,driving_school,Trânsito Livre
-13.0023495,-38.4575330,restaurant,Colher de Prata
-13.0027186,-38.4589149,fast_food,McDonald's
-13.0047460,-38.4615540,ice_cream,Outlet dos Picolés
-13.0063730,-38.4620350,restaurant,O Porco
-13.0069528,-38.4623387,fast_food,Acarajé da Chica
-13.0073644,-38.4633538,clinic,Centro Terapêutico do Idoso Flor de Lótus
-12.9900595,-38.4582537,restaurant,É Free
-12.9941818,-38.4592258,cafe,California Brownieria
-12.9909131,-38.4606420,restaurant,Arabesque
-12.9918012,-38.4592948,bar,Astro
-13.0059443,-38.4578790,ice_cream,A Cubana
-12.9929953,-38.4609510,clinic,igh Healthcare
-12.9941205,-38.4597615,fast_food,Pãozito
-13.0059990,-38.4571427,bicycle_rental,Nossa Senhora da Luz
-12.9928866,-38.4554728,bar,Quintal da Esquina
-12.9940872,-38.4589505,clinic,Canto Encanto
-12.9940833,-38.4589997,clinic,Carolina Dias
-13.0038403,-38.4570571,clinic,Hapvida Pituba I
-13.0057231,-38.4584579,clinic,Clínica do Trabalho
-13.0049381,-38.4552507,fast_food,Sotero Burger & Pub
-12.9914136,-38.4509414,school,Escola Espaço Ideal
